Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 3 -5.6099787 0.0 -33.3935 5.49522 -16.8612 340.647 -2208.21 338.862 -2188.67 0.0 338.862 -2188.67 42.6051 -33.3935 -1840.5962 -3.77671 -3.77671
4 4 -5.6892405 0.0 -33.3524 5.5215 -17.0928 340.647 -2208.21 338.804 -2190.13 0.0 338.804 -2190.13 44.3196 -33.3524 -1840.3586 -2.07099 -2.07099
4 5 -5.324485 0.0 -30.4708 5.65258 -17.9237 340.647 -2208.21 338.796 -2189.24 0.0 338.796 -2189.24 43.369 -30.4708 -1837.5458 -1.38264 -1.38264
4 6 -5.024316 0.0 -27.7331 5.43567 -18.2142 340.647 -2208.21 338.82 -2189.23 0.0 338.82 -2189.23 42.4327 -27.7331 -1835.7102 -1.5975 -1.5975
4 7 -5.1472898 0.0 -28.2928 5.43867 -19.6725 340.647 -2208.21 338.899 -2191.95 0.0 338.899 -2191.95 47.6878 -28.2928 -1833.656 0.672749 0.672749
5 0 -5.529957 0.0 -29.7327 5.42861 -16.2046 340.647 -2208.21 339.213 -2193.01 0.0 339.213 -2193.01 39.6149 -29.7327 -1843.9149 -6.6107 -6.6107
5 1 -5.529957 0.0 -29.7327 5.42861 -16.2046 340.647 -2208.21 339.213 -2193.01 0.0 339.213 -2193.01 39.6149 -29.7327 -1843.9149 -6.6107 -6.6107
5 2 -5.529957 0.0 -29.7327 5.42861 -16.2046 340.647 -2208.21 339.213 -2193.01 0.0 339.213 -2193.01 39.6149 -29.7327 -1843.9149 -6.6107 -6.6107
5 3 -5.397619 0.0 -28.2395 5.45192 -16.5457 340.647 -2208.21 339.206 -2193.45 0.0 339.206 -2193.45 41.8435 -28.2395 -1840.6399 -4.27366 -4.27366
5 4 -5.397619 0.0 -28.2395 5.45192 -16.5457 340.647 -2208.21 339.206 -2193.45 0.0 339.206 -2193.45 41.8435 -28.2395 -1840.6399 -4.27366 -4.27366
5 5 -5.395268 0.0 -28.2153 5.45167 -16.5363 340.647 -2208.21 339.206 -2193.44 0.0 339.206 -2193.44 41.8256 -28.2153 -1840.6235 -4.27354 -4.27354
5 6 -5.395268 0.0 -28.2153 5.45167 -16.5363 340.647 -2208.21 339.206 -2193.44 0.0 339.206 -2193.44 41.8256 -28.2153 -1840.6235 -4.27354 -4.27354
5 7 -5.395268 0.0 -28.2153 5.45167 -16.5363 340.647 -2208.21 339.206 -2193.44 0.0 339.206 -2193.44 41.8256 -28.2153 -1840.6235 -4.27354 -4.27354
6 0 -5.755702 0.0 -34.717 5.55157 -16.6735 340.647 -2208.21 339.321 -2189.44 0.0 339.321 -2189.44 41.1228 -34.717 -1843.7131 -6.12982 -6.12982
6 1 -5.7022142 0.0 -34.3939 5.54375 -16.694 340.647 -2208.21 339.29 -2189.05 0.0 339.29 -2189.05 41.1619 -34.3939 -1842.992 -5.88185 -5.88185
7 0 -5.253566 0.0 -27.6962 5.44132 -14.1867 340.647 -2208.21 338.861 -2189.06 0.0 338.861 -2189.06 35.5234 -27.6962 -1842.372 -4.65196 -4.65196
7 1 -5.2487383 0.0 -28.6696 5.45454 -15.9382 340.647 -2208.21 338.869 -2189.22 0.0 338.869 -2189.22 37.2289 -28.6696 -1841.7916 -5.07715 -5.07715
7 2 -5.2487383 0.0 -28.6696 5.45454 -15.9382 340.647 -2208.21 338.869 -2189.22 0.0 338.869 -2189.22 37.2289 -28.6696 -1841.7916 -5.07715 -5.07715
7 3 -5.2451715 0.0 -28.6787 5.45358 -15.9821 340.647 -2208.21 338.867 -2189.19 0.0 338.867 -2189.19 37.2613 -28.6787 -1841.7405 -5.07355 -5.07355
7 4 -5.2187915 0.0 -29.9365 5.55894 -18.3089 340.647 -2208.21 338.842 -2188.94 0.0 338.842 -2188.94 42.0436 -29.9365 -1837.9907 -2.91262 -2.91262
7 5 -4.7520614 0.0 -20.7999 5.52332 -15.6999 340.647 -2208.21 338.905 -2192.98 0.0 338.905 -2192.98 37.8592 -20.7999 -1837.0156 -2.16532 -2.16532
7 6 -4.488189 0.0 -20.7085 5.37432 -17.6497 340.647 -2208.21 338.724 -2190.71 0.0 338.724 -2190.71 39.1676 -20.7085 -1833.527 0.513298 0.513298
7 7 -4.303849 0.0 -19.3149 5.41301 -19.4965 340.647 -2208.21 338.744 -2191.67 0.0 338.744 -2191.67 42.5726 -19.3149 -1829.6681 3.11499 3.11499
7 8 -4.303849 0.0 -19.3149 5.41301 -19.4965 340.647 -2208.21 338.744 -2191.67 0.0 338.744 -2191.67 42.5726 -19.3149 -1829.6681 3.11499 3.11499
7 9 -4.2668223 0.0 -18.3376 5.41566 -19.262 340.647 -2208.21 338.746 -2192.34 0.0 338.746 -2192.34 42.2722 -18.3376 -1829.6595 2.89033 2.89033
8 0 -5.158479 0.0 -26.8941 5.28062 -15.6322 340.647 -2208.21 338.738 -2190.25 0.0 338.738 -2190.25 36.0926 -26.8941 -1842.3135 -5.02902 -5.02902
8 1 -5.1396427 0.0 -26.728 5.27622 -15.6364 340.647 -2208.21 338.738 -2190.21 0.0 338.738 -2190.21 35.9526 -26.728 -1842.2473 -5.05407 -5.05407
8 2 -5.1396427 0.0 -26.728 5.27622 -15.6364 340.647 -2208.21 338.738 -2190.21 0.0 338.738 -2190.21 35.9526 -26.728 -1842.2473 -5.05407 -5.05407
8 3 -5.1396427 0.0 -26.728 5.27622 -15.6364 340.647 -2208.21 338.738 -2190.21 0.0 338.738 -2190.21 35.9526 -26.728 -1842.2473 -5.05407 -5.05407
8 4 -5.1351047 0.0 -26.5214 5.28205 -15.6625 340.647 -2208.21 338.743 -2190.48 0.0 338.743 -2190.48 36.0225 -26.5214 -1842.236 -4.99009 -4.99009
8 5 -5.1351047 0.0 -26.5214 5.28205 -15.6625 340.647 -2208.21 338.743 -2190.48 0.0 338.743 -2190.48 36.0225 -26.5214 -1842.236 -4.99009 -4.99009
8 6 -5.1351047 0.0 -26.5214 5.28205 -15.6625 340.647 -2208.21 338.743 -2190.48 0.0 338.743 -2190.48 36.0225 -26.5214 -1842.236 -4.99009 -4.99009
