Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -5.78361 0.0 -32.018 5.47795 -18.1325 340.647 -2208.21 339.314 -2195.63 0.0 339.314 -2195.63 42.2456 -32.018 -1846.0884 -6.76888 -6.76888
0 1 -5.78361 0.0 -32.018 5.47795 -18.1325 340.647 -2208.21 339.314 -2195.63 0.0 339.314 -2195.63 42.2456 -32.018 -1846.0884 -6.76888 -6.76888
0 2 -5.7851934 0.0 -32.0318 5.47708 -18.1184 340.647 -2208.21 339.313 -2195.62 0.0 339.313 -2195.62 42.2537 -32.0318 -1846.0852 -6.773 -6.773
0 3 -5.7851934 0.0 -32.0318 5.47708 -18.1184 340.647 -2208.21 339.313 -2195.62 0.0 339.313 -2195.62 42.2537 -32.0318 -1846.0852 -6.773 -6.773
0 4 -5.777087 0.0 -32.0304 5.47684 -18.1351 340.647 -2208.21 339.315 -2195.51 0.0 339.315 -2195.51 42.2617 -32.0304 -1845.9639 -6.77831 -6.77831
0 5 -5.48248 0.0 -32.6628 5.50635 -18.2714 340.647 -2208.21 339.089 -2189.46 0.0 339.089 -2189.46 43.02 -32.6628 -1840.0138 -4.01706 -4.01706
0 6 -5.4896984 0.0 -32.5212 5.52333 -18.3799 340.647 -2208.21 339.096 -2189.89 0.0 339.096 -2189.89 43.3617 -32.5212 -1839.9534 -4.03823 -4.03823
0 7 -5.415026 0.0 -28.8699 5.55949 -18.2986 340.647 -2208.21 339.15 -2194.26 0.0 339.15 -2194.26 44.2129 -28.8699 -1839.767 -2.59158 -2.59158
0 8 -5.415026 0.0 -28.8699 5.55949 -18.2986 340.647 -2208.21 339.15 -2194.26 0.0 339.15 -2194.26 44.2129 -28.8699 -1839.767 -2.59158 -2.59158
0 9 -5.2243476 0.0 -28.3092 5.4949 -17.663 340.647 -2208.21 339.069 -2191.35 0.0 339.069 -2191.35 42.4314 -28.3092 -1838.1588 -1.35347 -1.35347
0 10 -5.2243476 0.0 -28.3092 5.4949 -17.663 340.647 -2208.21 339.069 -2191.35 0.0 339.069 -2191.35 42.4314 -28.3092 -1838.1588 -1.35347 -1.35347
0 11 -5.2243476 0.0 -28.3092 5.4949 -17.663 340.647 -2208.21 339.069 -2191.35 0.0 339.069 -2191.35 42.4314 -28.3092 -1838.1588 -1.35347 -1.35347
0 12 -5.2243476 0.0 -28.3092 5.4949 -17.663 340.647 -2208.21 339.069 -2191.35 0.0 339.069 -2191.35 42.4314 -28.3092 -1838.1588 -1.35347 -1.35347
0 13 -5.1935067 0.0 -28.284 5.46554 -17.7142 340.647 -2208.21 339.042 -2190.94 0.0 339.042 -2190.94 42.1149 -28.284 -1838.0671 -1.38685 -1.38685
0 14 -5.1935067 0.0 -28.284 5.46554 -17.7142 340.647 -2208.21 339.042 -2190.94 0.0 339.042 -2190.94 42.1149 -28.284 -1838.0671 -1.38685 -1.38685
0 15 -4.8180985 0.0 -23.5689 5.44374 -19.4106 340.647 -2208.21 339.201 -2194.07 0.0 339.201 -2194.07 48.5869 -23.5689 -1829.8511 3.71264 3.71264
0 16 -4.8192463 0.0 -23.6386 5.44576 -19.4357 340.647 -2208.21 339.199 -2194.0 0.0 339.199 -2194.0 48.654 -23.6386 -1829.7856 3.70368 3.70368
0 17 -4.918571 0.0 -24.0412 5.45314 -20.2107 340.647 -2208.21 339.138 -2195.67 0.0 339.138 -2195.67 51.6536 -24.0412 -1828.9197 4.98993 4.98993
1 0 -5.5344143 0.0 -31.5982 5.30737 -15.5685 340.647 -2208.21 339.342 -2189.95 0.0 339.342 -2189.95 37.2241 -31.5982 -1844.9819 -7.71378 -7.71378
2 0 -5.32367 0.0 -28.3983 5.33336 -15.396 340.647 -2208.21 339.342 -2191.24 0.0 339.342 -2191.24 36.4932 -28.3983 -1843.803 -6.13322 -6.13322
2 1 -5.3190603 0.0 -28.3941 5.33316 -15.4014 340.647 -2208.21 339.344 -2191.18 0.0 339.344 -2191.18 36.4968 -28.3941 -1843.7332 -6.14324 -6.14324
2 2 -5.3140574 0.0 -28.3746 5.33172 -15.3825 340.647 -2208.21 339.343 -2191.11 0.0 339.343 -2191.11 36.4549 -28.3746 -1843.6868 -6.1462 -6.1462
2 3 -4.8769736 0.0 -22.9556 5.44109 -16.6257 340.647 -2208.21 339.402 -2193.51 0.0 339.402 -2193.51 39.1146 -22.9556 -1837.9491 -3.25241 -3.25241
2 4 -4.8258104 0.0 -22.3714 5.45816 -17.2165 340.647 -2208.21 339.401 -2194.14 0.0 339.401 -2194.14 42.1254 -22.3714 -1834.985 -0.47715 -0.47715
2 5 -4.75051 0.0 -22.4506 5.51389 -18.5889 340.647 -2208.21 339.373 -2194.03 0.0 339.373 -2194.03 46.0119 -22.4506 -1831.0957 5.20814 5.20814
2 6 -4.4863296 0.0 -18.5638 5.51412 -19.9952 340.647 -2208.21 339.323 -2197.05 0.0 339.323 -2197.05 46.0512 -18.5638 -1830.2397 2.98629 2.98629
2 7 -4.4549713 0.0 -18.1581 5.52849 -19.9578 340.647 -2208.21 339.339 -2197.13 0.0 339.339 -2197.13 45.821 -18.1581 -1830.128 3.20147 3.20147
3 0 -5.2349343 0.0 -26.6198 5.2703 -16.1612 340.647 -2208.21 339.315 -2193.36 0.0 339.315 -2193.36 36.9902 -26.6198 -1843.6748 -6.94188 -6.94188
3 1 -5.147456 0.0 -25.4858 5.28638 -16.3064 340.647 -2208.21 339.306 -2193.79 0.0 339.306 -2193.79 36.9922 -25.4858 -1842.9777 -6.99256 -6.99256
4 0 -5.0990095 0.0 -23.5737 5.32956 -15.0435 340.647 -2208.21 339.135 -2194.36 0.0 339.135 -2194.36 35.1456 -23.5737 -1843.6531 -6.49779 -6.49779
4 1 -5.29792 0.0 -29.5944 5.45322 -16.8834 340.647 -2208.21 339.088 -2189.88 0.0 339.088 -2189.88 40.6118 -29.5944 -1839.7745 -4.01095 -4.01095
5 0 -5.1623297 0.0 -26.0483 5.2768 -15.2904 340.647 -2208.21 338.871 -2191.49 0.0 338.871 -2191.49 35.0716 -26.0483 -1843.5958 -6.14353 -6.14353
5 1 -5.458465 0.0 -28.9437 5.55777 -17.1918 340.647 -2208.21 339.233 -2193.88 0.0 339.233 -2193.88 41.2825 -28.9437 -1842.308 -4.7018 -4.7018
5 2 -5.458465 0.0 -28.9437 5.55777 -17.1918 340.647 -2208.21 339.233 -2193.88 0.0 339.233 -2193.88 41.2825 -28.9437 -1842.308 -4.7018 -4.7018
5 3 -5.5442867 0.0 -29.3896 5.56051 -18.9624 340.647 -2208.21 339.24 -2196.37 0.0 339.24 -2196.37 44.3299 -29.3896 -1842.19 -4.6576 -4.6576
5 4 -5.5442867 0.0 -29.3896 5.56051 -18.9624 340.647 -2208.21 339.24 -2196.37 0.0 339.24 -2196.37 44.3299 -29.3896 -1842.19 -4.6576 -4.6576
5 5 -5.5442867 0.0 -29.3896 5.56051 -18.9624 340.647 -2208.21 339.24 -2196.37 0.0 339.24 -2196.37 44.3299 -29.3896 -1842.19 -4.6576 -4.6576
5 6 -5.4495735 0.0 -28.9256 5.55841 -17.1956 340.647 -2208.21 339.236 -2193.77 0.0 339.236 -2193.77 41.291 -28.9256 -1842.1686 -4.71292 -4.71292
5 7 -5.4495735 0.0 -28.9256 5.55841 -17.1956 340.647 -2208.21 339.236 -2193.77 0.0 339.236 -2193.77 41.291 -28.9256 -1842.1686 -4.71292 -4.71292
5 8 -5.4495735 0.0 -28.9256 5.55841 -17.1956 340.647 -2208.21 339.236 -2193.77 0.0 339.236 -2193.77 41.291 -28.9256 -1842.1686 -4.71292 -4.71292
5 9 -5.179676 0.0 -28.3385 5.3694 -17.4919 340.647 -2208.21 339.161 -2190.74 0.0 339.161 -2190.74 38.7158 -28.3385 -1841.2018 -4.73096 -4.73096
5 10 -5.179676 0.0 -28.3385 5.3694 -17.4919 340.647 -2208.21 339.161 -2190.74 0.0 339.161 -2190.74 38.7158 -28.3385 -1841.2018 -4.73096 -4.73096
5 11 -5.179676 0.0 -28.3385 5.3694 -17.4919 340.647 -2208.21 339.161 -2190.74 0.0 339.161 -2190.74 38.7158 -28.3385 -1841.2018 -4.73096 -4.73096
